nameOfAuthor,listOfAuthors,studentPublication,title,typeOfPublication,nameOfPublicationPlatform,scopus,wos,publicationDetails,year,month,academicYear,url,doi,identificationNumber,indexing,noOfCitations,abstract,keywords,specialization,status,link,dateOfPublication,Unnamed: 23,Unnamed: 24,Unnamed: 25
Gunupudi Rajesh Kumar,"Gunupudi Rajesh Kumar, Nimmala Mangathayaru, Aditya Kolli, Avinash Komatineni, Srihitha Reddy, Shivani Reddy",Yes,Machine Learning Approach for Detection of Cardiology Diseases,Book Chapter,"International Conference on Advanced Informatics for Computing Research-ICAICR 2021:, Advanced Informatics for Computing Research - Springer Cham",No,No,"Communications in Computer and Information Science, vol 1575. Springer, Cham.",2022.0,June,2021-22,https://link.springer.com/chapter/10.1007/978-3-031-09469-9_16,https://doi.org/10.1007/978-3-031-09469-9_16,Print ISBN -978-3-031-09468-2,SpringerLink,0.0,"Heart plays essential part in living creatures. Heart disease is one of the most major causes of death in the world today. Prediction of this cardiac disease is most difficult part in the field of medical data analysis. Diagnosis and forecast of heart linked disorders need greater accuracy, perfection and correctness since a small error may create tiredness issue or death of the person, there are countless death cases connected to heart and their counting is rising geometrically day by day. As the outside world is developing a lot but why have not the software that many people have developed are not showing good performance, then with a lot of research we have found that machine learning is the correct way which serves our purpose. Machine learning has been demonstrated to be successful in aiding in generating judgments and predictions from the huge amount of data generated by the healthcare business. Various research provide merely a peep towards forecasting heart disease using ML approaches. Here, we construct a model that aims at detecting key characteristics by using machine learning methods resulting in enhancing the accuracy in the prediction of heart disease. There are various methods to perform this job effectively, but how effective are they? Our major target is to provide an increased performance level with the excellent accuracy level via the prediction model for heart disease using the SVM, Naive Bayes, Extreme learning machine, logistic regression and Random Forest techniques.","Accuracy,ML models,Heart disease,Prediction,Web application,Graph",,,,2022-06-25,,,
Tene Ravi,"D. Srinivasa Rao, Ch. Ramesh Babu, Nagendra Kumar, N. Rajasekhar, T. Ravi",,Medical Image Fusion Using Transform Based Fusion Techniques,Journal,International Journal of Recent Technology and Engineering,No,Yes,"Volume 8, Issue 2, Pages 309-317, Publisher Blue Eyes Intelligence Engineering & Sciences Publication",2019.0,July,2019-20,https://www.ijrte.org/download/volume-8-issue-2/,https://www.ijrte.org/wp-content/uploads/papers/v8i2/A9180058119.pdf,2277-3878,ijrte,3.0,,,,,,2019-07-30,,,
Tene Ravi,"Ch Ramesh Babu, D Srinivasa Rao, T Ravi, G Gopi",,Performance assessment of neuro fuzzy based image fusion of satellite images,Journal,International Journal of Advanced Technology and Engineering Exploration,No,Yes,"Volume 5, Issue 40, Pages 43-49 Publisher ACCENTS",2018.0,March,2017-18,https://www.accentsjournals.org/PaperDirectory/Journal/IJATEE/2018/3/1.pdf,https://www.accentsjournals.org/PaperDirectory/Journal/IJATEE/2018/3/1.pdf,ISSN (Online): 2394-7454,accentsjournals,0.0,"Image fusion is a technique to converge multispectral (MS) and panchromatic (PAN) images in to a one fused image which is moderately supplementary helpful compared to input images taken for fusion. Image fusion is an important task to recover an image which delivers as much as evidence of the same body part at the similar time it also assistances to decrease the storing capability to a particular image. In this paper an assessment is completed among conventional image fusion methods; principal component analysis (PCA), discrete wavelet transform (DWT), IHS transform based fusion, Brovey transform based fusion, and the projected neuro fuzzy based iterative image fusion techniques. The proposed neuro fuzzy based iterative fusion method utilizes fuzzy inference system (FIS) prepared by determining fuzzy rules and membership functions precisely. Experimentations have been finished on different datasets of multimodal satellite images. The projected technique is perceivably and significant related with the other fusion approaches. For the assessment of the fused image obtained from various fusion techniques ten diverse measures is prepared and utilized of, namely image quality index (IQI) and mutual information measure (MIM) with probability density.","Image fusion, PCA, DWT, IHS, Brovey transform.",,,,2018-03-01,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Dr Somula Ramasubba Reddy,"Sudheer Devulapalli, B Venkatesh, Ramasubbareddy Somula",No,Business Analysis During the Pandemic Crisis Using Deep Learning Models,Book Chapter,AI-Driven Intelligent Models for Business Excellence,No,No,Pages 68-80 Publisher IGI Global,2023.0,January,2022-23,https://www.igi-global.com/chapter/business-analysis-during-the-pandemic-crisis-using-deep-learning-models/315394,DOI: 10.4018/978-1-6684-4246-3.ch004,,IGI Global,0.0,"This chapter aims to investigate pandemic crisis in the various business fields like real estate, restaurants, gold, and the stock market. The importance of deep learning models is to analyse the business data for future predictions to overcome the crisis. Most of the recent research articles are published on intelligent business models in sustainable development and predicting the growth rate after the pandemic crisis. This clear study will be presented based on all reputed journal articles and information from business magazines on the various business domains. Comparison of best intelligent models in business data analysis will be done to transform the business operations and the global economy. Different deep learning applications in business data analysis will be addressed. The deep learning models are investigated which are applied on descriptive, predictive, and prescriptive business analytics","pandemic crisis, business fields, real estate, restaurants, gold, stock market, deep learning models, business data analysis, sustainable development, growth rate, reputed journal articles, business magazines, intelligent models, global economy, deep learning applications",,,,2023-01-01,,,
D Dakshayani Himabindu,"D Dakshayani Himabindu, S Praveen Kumar",No,A Comprehensive Analytic Scheme for Classification of Novel Models,Conference,2020 3rd International Conference on Intelligent Sustainable Systems (ICISS),Yes,No,,2020.0,December,2020-21,https://ieeexplore.ieee.org/xpl/conhome/9315857/proceeding,DOI: 10.1109/ICISS49785.2020.9316065,978-1-7281-7089-3,IEEE Explorer,9.0,"As per the World Health Organization (WHO), 285 million people are visually impaired of whom 39 million are completely blind. Though there exist enough remedies to the problems of assisting individuals who are visually impaired to read, there is a requirement for an intelligent text reader which is economical, accurate and easily accessible in order to help them read for day to day activities. This paper proposes an intelligent text reader using python. This product is built on a Raspberry Pi module connected with camera that is used to capture the input image. The input image is enhanced using Image processing techniques. The Tesseract OCR (Optical Character Recognition) engine embedded in the Raspberry Pi searches for the text in an improved image and converts it into digital document. The digital document is then analyzed using semantic check module. After the analysis, text is converted to speech by a Python based TTS (text to speech) conversion unit embedded in the Raspberry Pi. Finally, the audio output is given to the Audio Amplifier for it to be read out","world health organization, visually impaired, remedies, intelligent text reader, economical, accurate, accessible, raspberry pi, camera, image processing techniques, tesseract ocr, optical character recognition, semantic check module, text to speech, audio amplifier",,,,2020-12-01,,,
V. Sravan Kiran,"· Ch Ramesh Babu,· V. Sravan Kiran,· N. Rajasekhar,· B. Lalith Bharadwaj,· Rohit Boddeda,· K. Sai Vardhan",Yes,Deep Bi-linear Convolution Neural Network for Plant Disease Identification and Classification,Book Chapter,"Springer,ICAICR 2020",Yes,Yes,"1393,293-305",2021.0,Aug,2021-22,https://www.tojqi.net/index.php/journal/article/view/5432,https://link.springer.com/chapter/10.1007/978-981-16-3660-8_28,,Turkish Online Journal of Qualitative Inquiry,1.0,"The exponential development in smart gadgets with all-round connection has hugely reduced the flow inside the cloud Internet of Things (IoT) and generated possible cyber-attack surfaces. Traditional security techniques to handle security risks in cloud-based IoT networks are insufficient and ineffective. Software Defined Networking (SDN), Network Function Virtualization (NFV), and Machine Learning Technologies provide several advantages to tackle cyber security problems for fog IoT devices. This article proposes collaboration and smart network-based design for IoT networks, called NIDS, for access control based on SDNs. It consists of a hierarchic level of smart IDS nodes that work together to identify abnormalities and create policies in SDN-based integrated application devices to block malicious traffic at the quickest opportunity. First we outline a novel NIDS architecture with an extensive small network and track decision evaluation. Next, the logic of the control system is explored comprehensively by the major sequential procedures comprising initialization, realtime operations and database updates. Then we build the developed model in complete in an SDN-based ecosystem and undertake a number of tests. Finally, the NIDS architecture assessment findings offer great results in anomalous identification and reduction and the treatment of problem bottleneck mostly in SDN-based cloud Iot systems compared with existing alternatives.","Internet of Things (IoT), cybersecurity, smart gadgets, cloud computing, Software Defined Networking (SDN), Network Function Virtualization (NFV), Machine Learning Technologies, fog computing, NIDS (Network Intrusion Detection System), access control, hierarchical IDS nodes, abnormalities, policy creation, integrated application devices, malicious traffic, anomaly identification, bottleneck treatment, evaluation, collaboration, smart network-based design.",,,,2021-08-30,,,
V. Sravan Kiran,"Radhakrishna V., Sravankiran V., Ravikiran K.",No,Automating ETL process with scripting technology,Conference,"3rd Nirma University International Conference on Engineering, NUiCONE 2012",Yes,Yes,,2012.0,November,2012-13,,,9.78E+12,,12.0,,,,,,2012-12-01,,,
V Sravan Kiran,"Arun Nagaraja, Uma Boregowda, Khalaf Khatatneh, Radhakrishna Vangipuram, Rajasekhar Nuvvusetty, V Sravan Kiran",,Similarity Based Feature Transformation for Network Anomaly Detection,Journal,IEEE Access,Yes,Yes,Volume 8 Pages 39184-39196 Publisher IEEE,2020.0,February,2019-20,https://ieeexplore.ieee.org/abstract/document/9006824,DOI: 10.1109/ACCESS.2020.2975716,ISSN: 2169-3536,IEEE Explore,45.0,"The fundamental objective behind any network intrusion detection system is to automate the detection process whenever intrusions occur in the network. The problem of the network anomaly detection is to determine, if the network incoming traffic is legitimate (or) anomalous. Automated detection systems designed to identify incoming anomalous traffic patterns usually apply widely used machine learning techniques. However, irrespective of any system model which is developed to identify anomalous traffic, all these models requires comparing anomalous and normal traffic patterns. Such comparisons implicitly depend on the ability of the underlying machine learning model to gauge the similarity between a known legitimate observation and the target. The efficiency of any network anomalous detection system depends on the use of distance (or) similarity measures and how they are actually applied. A novel distance function which can be applied to determine the similarity between two conditional feature pattern vectors is an important contribution of present research. Feature dimensionality is another important issue for any machine learning algorithm. In the present work, feature reduction is achieved using the proposed feature transformation technique. However, our approach for feature transformation uses the proposed gaussian distance function to achieve dimensionality reduction to represent the original input dataset in the new transformation space. We have also proposed new computation expressions for determining equivalent deviation and threshold in gaussian space. Experiments are performed on KDD and NSL-KDD datasets by considering widely applied classifier algorithms in various state-of-art research contributions. For performance validation of machine learning models, k-fold cross validation is applied by setting k to 10 through considering evaluation parameters such as accuracy, precision and recall. Experiment results have proved that our approach for anomaly detection that applies the proposed feature transformation technique proved comparatively better to detection methods CANN, GARUDA, and UTTAMA addressed in the recent research literature","Similarity function,
feature clustering,
intrusion,
conditional feature pattern vector,
anomaly detection",,,,2020-02-01,,,
V. Sravan Kiran,"Ch Ramesh Babu, Dammavalam Srinivasa Rao, V. Sravan Kiran, N. Rajasekhar",,Assessment of Plant Disease Identification using GLCM and KNN Algorithms,Journal,International Journal of Recent Technology and Engineering (IJRTE),no,no,"Volume-8 Issue-5, January 2020, Publisher-Blue Eyes Intelligence Engineering & Sciences Publication",2020.0,January,2019-20,https://www.ijrte.org/wp-content/uploads/papers/v8i5/E5018018520.pdf,DOI:10.35940/ijrte.E5018.018520,ISSN: 2277-3878,IJRTE,0.0,": One of the significant segments of Indian Economy is
Cultivation. Occupation to almost 50% of the nations labor force
is delivered by Indian cultivation segment. India is recognized to
be the world's biggest manufacturer of pulses, rice, wheat, spices
and spice harvests. Agronomist's financial progress is contingent
on the excellence of the goods that they yield, which depend on on
the plant's progress and the harvest they get. Consequently, in
ground of cultivation, recognition of disease in plants shows an
involved part. Plants are exceedingly disposed to to infections that
disturb the progress of the plant which in chance distresses the
natural balance of the agronomist. In order to distinguish a plant
disease at right preliminary period, usage of automatic disease
detection procedure is beneficial. The indications of plant diseases
are noticeable in various portions of a plant such as leaves, etc.
Physical recognition of plant disease by means of leaf descriptions
is a wearisome job. The k-mean clustering procedure is utilized
for the segmentation of input images. The GLCM (gray-level
co-occurrence matrices) procedure is utilized which excerpts
textural features from the input image and implementation of
KNN (k-nearest neighbors) algorithm for image classification and
produced classification accuracy from 70 to 75% for different
inputs. Hence, it is required to develop machine learning based
computational methods which will make the process of disease
detection and classification using leaf images automatic. .. To
advance concert of standing methods machine learning and deep
learning algorithms will be utilized for more accurate
classification","GLCM, K-Means, KNN algorithm, bacterial,
fungal, viral, machine learning, deep learning, neural networks,
support vector machines, genetic algorithm, convolution neural
networks",,,,2020-01-01,,,
V Sravan Kiran,"Rohit Boddeda Sai Vardhan K Srinivasa Rao Dammavalam*, Ramesh Babu Ch, V Sravan Kiran, Rajasekhar N, Lalith Bharadwaj B",,Leaf Image Classification with the Aid of Transfer Learning: A Deep Learning Approach,Journal,Current Chinese Computer Science,no,no,Volume 1 Issue 1,2021.0,May,2020-21,https://www.eurekaselect.com/184774/article?tracking-code=4,DOI : 10.2174/2665997201999200811150433,ISSN: 2665-9964,Bentham Science,4.0,"Background: Crop diseases are a primary hazard to nutrient safety, which proves to be a serious problem in many places in the world due to the unavailability of essential aid. Typically agriculturalists or specialists perceive the plants with a naked eye for detection and identification of an illness. Machine vision models, in specific Convolutional Neural Networks (CNNs) have directed an impact in feature extraction to a greater extent. Since 2015, numerous solicitations for the automatic classification and recognition of crop illnesses have been established.

Methods: In this paper, we proposed, analyzed, and assessed various state-of-the-art models proposed over a decade. These models are pre-trained with the finest parameters where we modeled a design-oriented method with numerous leaf-images and classified them into infection and healthy class for each type of leaf independently.
Results: Through our examination, we concluded that VGG models stand-alone with many cited prototypes and give on par results. As declared, these VGG models (VGG16 and VGG19) are utilized for feature extraction, and further, we augmented a set of dense layers and train them consequently for classification. The performances of various machine vision prototypes were pictorially perceived and their sophisticated architecture is not only capable of extracting detailed features but also repressed many loop-holes. The performance is assessed and computed for several types of leaf images and the accuracy scores attained were more than 97.5% for VGG16 and 96.72% for VGG19.
Conclusion: AUC-ROC curves were portrayed to illustrate its inspiration in defining an accurate classification where VGG16 and VGG19 have at least 96.6% and 95% area under the curve (AUC) which resembles their robustness."," Leaf classification, deep learning, transfer learning, automated plant diagnosis, CNNs",,,,2020-08-01,,,
V.Sravan Kiran,"N. Rajasekhar Ch Ramesh Babu, Dammavalam Srinivasa Rao, V. Sravan Kiran",,Assessment of Plant Disease Identification using GLCM and KNN Algorithms,Journal,International Journal of Recent Technology and Engineering (IJRTE),No,No,"Volume 8, Issue 5, Pages 4900-4904, Publisher Blue Eyes Intelligence Engineering & Sciences Publication",2020.0,January,2019-20,https://www.ijrte.org/wp-content/uploads/papers/v8i5/E5018018520.pdf,https://www.ijrte.org/download/volume-8-issue-5/,ISSN 2277-3878,IJRTE,1.0,"One of the significant segments of Indian Economy is Cultivation. Occupation to almost 50% of the nations labor force is delivered by Indian cultivation segment. India is recognized to be the world's biggest manufacturer of pulses, rice, wheat, spices and spice harvests. Agronomist's financial progress is contingent on the excellence of the goods that they yield, which depend on on the plant's progress and the harvest they get. Consequently, in ground of cultivation, recognition of disease in plants shows an involved part. Plants are exceedingly disposed to to infections that disturb the progress of the plant which in chance distresses the natural balance of the agronomist. In order to distinguish a plant disease at right preliminary period, usage of automatic disease detection procedure is beneficial. The indications of plant diseases are noticeable in various portions of a plant such as leaves, etc. Physical recognition of plant disease by means of leaf descriptions is a wearisome job. The k-mean clustering procedure is utilized for the segmentation of input images. The GLCM (gray-level co-occurrence matrices) procedure is utilized which excerpts textural features from the input image and implementation of KNN (k-nearest neighbors) algorithm for image classification and produced classification accuracy from 70 to 75% for different inputs. Hence, it is required to develop machine learning based computational methods which will make the process of disease detection and classification using leaf images automatic. .. To advance concert of standing methods machine learning and deep learning algorithms will be utilized for more accurate classification","GLCM, K-Means, KNN algorithm, bacterial,
fungal, viral, machine learning, deep learning, neural networks,
support vector machines, genetic algorithm, convolution neural
networks.
",,,,2020-01-01,,,
V.Sravan Kiran,"Ramesh Babu Ch2, V. Sravan Kiran1, N. Rajasekhar3,*, Kalyanapu Srinivas4, P. Shilhora Akshay1, G. Sai Mohan1 and B. Lalith Bharadwaj",yes,Plant Disease Classi?cation Using Deep Bilinear CNN,Journal,Intelligent Automation & Soft Computing,yes,Yes,"31,1",2022.0,January,2021-22,https://www.techscience.com/iasc/v31n1/44287,,,Google scholar,1.0,"Plant diseases have become a major threat in farming and provision of food. Various plant diseases have affected the natural growth of the plants and the infected plants are the leading factors for loss of crop production. The manual detection and identification of the plant diseases require a careful and observative examination through expertise. To overcome manual testing procedures an automated identification and detection can be implied which provides faster, scalable and precisive solutions. In this research, the contributions of our work are threefold. Firstly, a bi-linear convolution neural network (Bi-CNNs) for plant leaf disease identification and classification is proposed. Secondly, we fine-tune VGG and pruned ResNets and utilize them as feature extractors and connect them to fully connected dense networks. The hyperparameters are tuned to reach faster convergence and obtain better generalization during stochastic optimization of Bi-CNN(s). Finally, the proposed model is designed to leverage scalability by implying the Bi-CNN model into a real-world application and release it as an open-source. The model is designed on variant testing criteria ranging from 10% to 50%. These models are evaluated on gold-standard classification measures. To study the performance, testing samples were expanded by 5x (i.e., from 10% to 50%) and it is found that the deviation in the accuracy was quite low (0.27%) which resembles the consistent generalization ability. Finally, the larger model obtained an accuracy score of 94.98% for 38 distinct classes","Bilinear convolution neural networks (Bi-CNNs), plant disease classification,mobile API, deep learning, neural networks",,,,2021-09-03,,,
Pushpa Priyanka Palesetti,"K Kranthi Kumar, Y Kasiviswanadham, DVSNV Indira, Ch V Bhargavi",,Criminal face identification system using deep learning algorithm multi-task cascade neural network (MTCNN),Elsevier,,no,No,########,2021.0,july,2020-21,https://www.sciencedirect.com/science/article/pii/S2214785321047672,,,ScienceDirect,6.0,"Nowadays criminal activities are growing at an exponential rate. Crime prevention by effective identification of criminals is the main issue before the police and on the other hand, the availability of police officers is inadequate. There are various technological solutions for detecting criminals but they are not up to the mark. In this project, a face detection and recognition system for criminal identification is developed using the multi-task cascade neural network. This system will be able to detect faces and recognize faces of criminals automatically in real-time. This system would also just require a single image of the criminal to recognize him, also known as one-shot learning. The purpose is to identify the criminal face, retrieve the information stored in the database for the identified criminal and a notification is sent to the police personnel with all the details and the location at which he was under the surveillance of the camera.","criminal activities, crime prevention, identification of criminals, police officers, technological solutions, face detection, recognition system, multi-task cascade neural network, real-time, one-shot learning, database, notification, surveillance, exponential rate, police personnel",,,,2021-07-01,,,
Dr.D. Srinivasarao,5,Yes,AI Based Chatbot for Hospital Management System,Conference,ICAN 2022,Yes,Yes,"Vol.2,pp 1-5",2023.0,2,2022-23,https://ieeexplore.ieee.org/abstract/document/10007105,doi: 10.1109/ICAN56228.2022.100,978-1-6654-9944-6,"Scopus, IEEE Xplore",1.0,"The healthcare sector represents one of the most significant segments of the economy. A reliable healthcare system ensures a strong economy by increasing life expectancy, contributing to national growth, and reducing the burden of families. The purpose of this project is to implement a proper healthcare management system integrating all the basic functionalities powered by an Artificial Intelligent chatbot that is capable of having a very organic conversation with the user and solving their queries using knowledge base. The knowledge base is a real-time data collected in a JSON format which is pre-processed to make it ready for further processing using bag of words. The information is received and delivered in both speech and text formats. The chatbot can provide navigation links according to the requests of a user. Furthermore, it is capable of predicting the problem by performing symptom diagnosis and recommending a doctor to be consulted or any immediate measures to be taken. In addition, it also provides information regarding diagnostics beforehand.","Chatbot,
Appointments,
Diagnosis,
NLP,
Long- Short Term Memory (LSTM),
Recurrent Neural Networks (RNN)",,,https://ieeexplore.ieee.org/abstract/document/10007105,2022-02-13,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
M.Susmitha,"M. Susmitha,Renuka Kondabala,Y.Bhaskar Reddy,M.Radha",No,"Machine Learning Approach on Opinion Mining About 
 Reviews of Products in Online Shopping",Journal,European Chemical Bulletin,Yes,No,ISSN 2063-5346,2023.0,July,2023-24,https://www.eurchembull.com/search,doi: 10.31838/ecb/2023.12.si6.6402023.07/07/2023,,NO,0.0,,,,,,2023-07-01,,,
Raswitha Bandi,"D Dakshayani Himabindu, Keesara Sravanthi, Raswitha Bandi",No,A Review on Internet of Things-Based Cloud Architecture and Its Application,Book chapter,International Conference on Machine Learning and Big Data Analytics,Yes,No,Springer International Publishing,2023.0,June,2022-23,https://link.springer.com/chapter/10.1007/978-3-031-15175-0_21,https://doi.org/10.1007/978-3-031-15175-0_21,978-3-031-15175-0,Scopus,0.0,"The recent expansion of the Internet of Things (IoT) and the rise in increased volume of data produced by smart devices have led to the outsourcing of data to specified data centers. It has been expect that different things we see around us are going to be internet world or interconnected. The services like smart homes, microwave ovens, refrigerator, and self-driving cars, which we are enjoying are connections of various computing devices. Internet of Things (IoT) where all devices are having computing platforms run according to the instructions given by Internet. Internet of Things is used to connect various devices via the Internet. In order to store all this applications, we need a large storage capacity. It is also the data, the insights from the data, and the future. By future, I mean the potential for growth and innovation inherent in an IoT network. The more you know about the future, the better you can plan for it now","Internet of Things,Cloud computing,IoT cloud,MQTT,Sigfox sensors",cloud computing,active,https://scholar.google.com/citations?view_op=list_works&hl=en&hl=en&user=SSaUX-kAAAAJ&sortby=pubdate,2023-06-07,,,
M.Radha,"M. Susmitha,Renuka Kondabala,Y.Bhaskar Reddy,M.Radha",No,"Machine Learning Approach on Opinion Mining About 
 Reviews of Products in Online Shopping",Journal,European Chemical Bulletin,Yes,No,ISSN 2063-5346,2023.0,July,2023-24,https://www.eurchembull.com/search,doi: 10.31838/ecb/2023.12.si6.6402023.07/07/2023,ISSN 2063-5346,Scopus,0.0,,,,Active,,2023-07-01,,,
